Fold,Classifier,Accuracy,Precision,Recall,Specificity,F1,GM,FPR,AUC,MCC,Kappa,Balanced Accuracy,Training Time (s)
8,Gradient Boosting,0.8924496236950716,0.5304347826086957,0.39439655172413796,0.9556771545827634,0.45241038318912236,0.6139346661730203,0.04432284541723666,0.8005044459644322,0.3995321000278032,0.3942065880042269,0.6750368531534506,42.56234693527222
9,Gradient Boosting,0.8967945604662457,0.5670103092783505,0.35560344827586204,0.9655172413793104,0.4370860927152318,0.5859532919988424,0.034482758620689655,0.7866842312628579,0.3962194803335093,0.3835420539745449,0.6605603448275862,41.51501417160034
10,Gradient Boosting,0.894851869839728,0.5476923076923077,0.38362068965517243,0.9597701149425287,0.4512040557667934,0.6067847010305031,0.040229885057471264,0.7901340406356755,0.4027159413136562,0.3950490958106221,0.6716954022988506,44.84153628349304
1,XGBoost,0.894634620053411,0.55859375,0.3081896551724138,0.9690834473324214,0.3972222222222222,0.5464993078373228,0.03091655266757866,0.786022630784471,0.36310153602886547,0.34473144797574284,0.6386365512524176,4.019879579544067
2,XGBoost,0.8912357368293276,0.5377358490566038,0.24568965517241378,0.973187414500684,0.33727810650887574,0.488980654307311,0.026812585499316005,0.7781782159535827,0.3131939113714773,0.28689326616449773,0.6094385348365489,6.135136604309082
3,XGBoost,0.8902646273367322,0.525,0.27155172413793105,0.9688098495212039,0.35795454545454547,0.5129151830461762,0.03119015047879617,0.7920476791358083,0.32441595798842987,0.3045390159936886,0.6201807868295675,4.10133171081543
4,XGBoost,0.8985190580237922,0.5845588235294118,0.3426724137931034,0.9690834473324214,0.4320652173913043,0.576262235500768,0.03091655266757866,0.7760389641020803,0.39689146793190366,0.3804829359002406,0.6558779305627624,6.409430265426636
5,XGBoost,0.9002184996358339,0.5977859778597786,0.34913793103448276,0.9701778385772913,0.44081632653061226,0.5820016179499692,0.029822161422708618,0.8035367234303504,0.4072122842734037,0.3901574112465629,0.659657884805887,4.039704322814941
6,XGBoost,0.9016751638747269,0.6175298804780877,0.33405172413793105,0.973734610123119,0.43356643356643354,0.57033124179235,0.026265389876880985,0.7987042431246758,0.4067915477947401,0.3849194570963259,0.653893167130525,5.915600061416626
7,XGBoost,0.8968196164117505,0.5783132530120482,0.3103448275862069,0.9712722298221614,0.40392706872370265,0.5490257850988689,0.028727770177838577,0.785202132176046,0.3735996675853054,0.3530227014441334,0.6408085287041841,4.205795764923096
8,XGBoost,0.9014323865015781,0.6169354838709677,0.3297413793103448,0.9740082079343365,0.4297752808988764,0.5667193396592931,0.025991792065663474,0.8018677178168782,0.4037206383834336,0.38121664303496205,0.6518747936223407,5.8223795890808105
9,XGBoost,0.8994657600777076,0.6116071428571429,0.2952586206896552,0.9761904761904762,0.39825581395348836,0.536869307681467,0.023809523809523808,0.7876783590963139,0.3784510200218379,0.35060975609756095,0.6357245484400657,4.011651039123535
10,XGBoost,0.8967945604662457,0.5802469135802469,0.30387931034482757,0.9720853858784894,0.3988684582743989,0.5435040355480729,0.027914614121510674,0.7916533959005719,0.3703034843171616,0.34839879936945295,0.6379823481116584,5.551838159561157
1,LightGBM,0.8968196164117505,0.5752895752895753,0.32112068965517243,0.9699042407660738,0.41217150760719223,0.5580827167134618,0.030095759233926128,0.7863764210575971,0.37904375053140055,0.36056376098784193,0.6455124652106231,2.9670002460479736
2,LightGBM,0.8943918426802622,0.5644444444444444,0.27370689655172414,0.973187414500684,0.3686502177068215,0.5161086193682282,0.026812585499316005,0.7782088777772537,0.3434982519518489,0.31851090316374886,0.6234471555262041,2.979979991912842
3,LightGBM,0.8885651857246905,0.5104602510460251,0.2629310344827586,0.9679890560875513,0.34708392603129445,0.5044941663538727,0.0320109439124487,0.790598907967357,0.3122838944951183,0.2929257834632638,0.615460045285155,3.3103342056274414
4,LightGBM,0.8975479485311969,0.58203125,0.32112068965517243,0.9707250341997264,0.41388888888888886,0.5583188089682785,0.029274965800273597,0.770390112741167,0.3821850358287888,0.3628494724556762,0.6459228619274494,2.970062732696533
5,LightGBM,0.9011896091284293,0.611764705882353,0.33620689655172414,0.9729138166894665,0.4339360222531293,0.5719268615141787,0.027086183310533515,0.80345800509458,0.40554788295043714,0.3847773935464551,0.6545603566205953,3.8808934688568115
6,LightGBM,0.9009468317552805,0.6166666666666667,0.31896551724137934,0.974829001367989,0.42045454545454547,0.5576171057663475,0.025170998632010944,0.8026891009009859,0.39653439089882386,0.3722387577996127,0.6468972593046842,2.959831476211548
7,LightGBM,0.8958485069191552,0.5757575757575758,0.28663793103448276,0.973187414500684,0.38273381294964026,0.5281594711839158,0.026812585499316005,0.7869598801830274,0.35703852227987626,0.3327695833271974,0.6299126727675834,2.976314067840576
8,LightGBM,0.9007040543821316,0.6141078838174274,0.31896551724137934,0.9745554035567715,0.4198581560283688,0.5575388492077182,0.025444596443228454,0.801819366479551,0.3953933114513141,0.37144934776533656,0.6467604603990754,3.806946039199829
9,LightGBM,0.8989800874210782,0.6100917431192661,0.28663793103448276,0.9767378215654078,0.39002932551319647,0.5291220164920718,0.023262178434592228,0.7899208236604194,0.37192767999996085,0.3426803756620822,0.6316878762999453,2.9507741928100586
10,LightGBM,0.8980087421078193,0.5916666666666667,0.30603448275862066,0.9731800766283525,0.4034090909090909,0.5457349735741266,0.02681992337164751,0.7929067460317459,0.37685284562409854,0.3537621359223301,0.6396072796934866,3.3798935413360596
1,CatBoost,0.8812818645302258,0.47390396659707723,0.4892241379310345,0.9310533515731874,0.4814422057264051,0.6749027880303896,0.06894664842681258,0.7940613354403511,0.4144960170981524,0.4144291443597634,0.7101387447521109,19.11442518234253
2,CatBoost,0.8786113134255887,0.46234309623430964,0.47629310344827586,0.9296853625170999,0.4692144373673036,0.6654342390827999,0.07031463748290014,0.7885849568375866,0.40075725327311096,0.40070082647706373,0.7029892329826879,17.846836805343628
3,CatBoost,0.8778829813061423,0.46153846153846156,0.5043103448275862,0.9253077975376197,0.4819773429454171,0.6831122121934663,0.0746922024623803,0.8019529223076559,0.4134351938380852,0.41291417272565756,0.714809071182603,18.823204278945923
4,CatBoost,0.8783685360524399,0.46277665995975853,0.4956896551724138,0.9269493844049248,0.4786680541103018,0.6778489660078847,0.07305061559507524,0.783787560733997,0.4102228753233049,0.40991289175192436,0.7113195197886693,17.912967681884766
5,CatBoost,0.8868657441126487,0.498,0.5366379310344828,0.931326949384405,0.516597510373444,0.7069549966117388,0.06867305061559507,0.8106178357469691,0.4530401045020393,0.4526348868856218,0.7339824402094439,19.617738485336304
6,CatBoost,0.8890507404709881,0.5071574642126789,0.5344827586206896,0.93406292749658,0.5204616998950682,0.7065695508679165,0.06593707250341997,0.8148300037737628,0.4579803899468272,0.4577788723691999,0.7342728430586348,17.415654182434082
7,CatBoost,0.8844379703811605,0.4874476987447699,0.5021551724137931,0.93296853625171,0.49469214437367304,0.6844669284765493,0.06703146374829001,0.7871320581159489,0.429527664488659,0.4294671868061647,0.7175618543327515,18.52352786064148
8,CatBoost,0.8824957513959699,0.4810606060606061,0.5474137931034483,0.9250341997264022,0.5120967741935484,0.7116013490871435,0.07496580027359781,0.8102056700787774,0.44681940442471363,0.44561720814757466,0.7362239964149253,18.007527589797974
9,CatBoost,0.88465274405051,0.4879120879120879,0.47844827586206895,0.9362342638204707,0.48313384113166485,0.6692829516190425,0.06376573617952928,0.7963123195175811,0.41824894464192547,0.41822353326778106,0.7073412698412698,17.829267501831055
10,CatBoost,0.8878096163186012,0.5020161290322581,0.5366379310344828,0.9324028461959496,0.51875,0.7073632265486081,0.06759715380405036,0.7983784303455825,0.45565779203558676,0.45533342189160475,0.7345203886152162,17.19632601737976
1,KNN,0.8096625394513232,0.29591836734693877,0.5,0.8489740082079343,0.3717948717948718,0.6515266718285347,0.15102599179206566,0.7098336006415397,0.2810540268533958,0.2682245023748233,0.6744870041039672,0.004740238189697266
2,KNN,0.8096625394513232,0.2905759162303665,0.47844827586206895,0.8517099863201094,0.36156351791530944,0.6383566201500245,0.14829001367989056,0.7022506957875372,0.2685541755647724,0.25748630763783187,0.6650791310910892,0.004456281661987305
3,KNN,0.8045642146151979,0.2747688243064729,0.4482758620689655,0.8497948016415868,0.3407043407043407,0.6172053931128664,0.15020519835841314,0.6983595924336053,0.2433184948247958,0.23366166659309417,0.6490353318552762,0.0061054229736328125
4,KNN,0.8128186453022578,0.2977602108036891,0.4870689655172414,0.854172366621067,0.3695829926410466,0.6450122874670969,0.14582763337893298,0.7102351526015379,0.27827473828209937,0.2671097587571266,0.6706206660691542,0.004543304443359375
5,KNN,0.8157319737800437,0.31065468549422337,0.521551724137931,0.853077975376197,0.3893805309734513,0.667026452909891,0.14692202462380302,0.7321111844898344,0.3024565002864768,0.2889885274180949,0.687314849757064,0.004679203033447266
6,KNN,0.8130614226754066,0.3038461538461538,0.5107758620689655,0.8514363885088919,0.38102893890675243,0.6594642942097138,0.14856361149110808,0.7441093919524506,0.29228754180821565,0.2792071080470051,0.6811061252889288,0.006048440933227539
